id;first_name;last_name;email;twitter;bio
1;Bianka;Thompson;Tiara95@gmail.com;attitude-oriented;../fake-data/blob/hipster.txt
2;Reese;Harber;Wendell_Kovacek@gmail.com;architectures wireless Mouse;../fake-data/blob/hipster.txt
3;Shaylee;Auer;Zelma_Jenkins23@hotmail.com;Tasty;../fake-data/blob/hipster.txt
4;Brook;Romaguera;Genevieve81@gmail.com;port Bolivia Senior;../fake-data/blob/hipster.txt
5;Devante;Reynolds;Karianne.Mayer31@hotmail.com;PCI Car;../fake-data/blob/hipster.txt
6;Haley;Mann;Kadin_Gutmann@gmail.com;Compatible Berkshire;../fake-data/blob/hipster.txt
7;Sallie;Reichert;Quinton.VonRueden@gmail.com;Soft dynamic;../fake-data/blob/hipster.txt
8;Lizzie;Okuneva;Valentin.Bruen49@yahoo.com;RSS engineer;../fake-data/blob/hipster.txt
9;Jerome;Sanford;Larissa91@gmail.com;Trail;../fake-data/blob/hipster.txt
10;Jovan;Wisozk;Eliezer89@gmail.com;Generic Antillian mobile;../fake-data/blob/hipster.txt
